team_id	code	type	player	x	y	min	sec	period
178	5	0ball_out	219438	101.2	31.3	71	38	2
174	61	0mal_control	197334	64.9	6.4	72	18	2
174	5	0ball_out	197334	64	-1.6	72	19	2
174	74	0blocked_pass	140266	21.8	21	73	24	2
178	61	0mal_control	92819	84.3	5.5	73	39	2
174	50	0dispossessed	42670	17.2	87.6	73	41	2
178	44	0aerial_duel_lost	86157	82	31.6	73	49	2
178	44	0aerial_duel_lost	209712	34.8	87.3	74	27	2
174	12	0despeje_clearance	242830	6.9	40.4	74	55	2
174	5	0ball_out	242830	14.6	-1.5	74	59	2
178	18	player_off	86157	0	0	75	20	2
178	19	player_in	179369	0	0	75	20	2
174	12	0despeje_clearance	197319	13.3	59.7	77	35	2
174	8	0interception	18498	31	24.7	78	9	2
174	61	0mal_control	439772	41.9	41.9	78	14	2
174	8	0interception	140266	14.8	26.2	78	49	2
178	61	0mal_control	52356	68.7	82.6	78	50	2
174	61	0mal_control	18498	25.6	19.2	78	52	2
178	15	attempt_saved	92819	87.3	62.9	78	57	2
178	5	0ball_out	219438	101.4	30.3	79	28	2
174	18	player_off	183462	0	0	80	12	2
174	19	player_in	38394	0	0	80	12	2
178	44	0aerial_duel_lost	209712	41.6	79.6	80	31	2
174	44	0aerial_duel_lost	140264	53.4	32.2	81	15	2
178	15	attempt_saved	76650	88.9	58.7	82	55	2
174	12	0despeje_clearance	18498	7.7	44.5	83	20	2
178	13	miss	76650	90	55	83	28	2
178	5	0ball_out	76650	101.2	43.2	83	28	2
178	44	0aerial_duel_lost	200402	28.5	14.8	84	33	2
178	44	0aerial_duel_lost	76650	9.6	62.8	85	15	2
174	13	miss	197319	91.2	37.1	85	16	2
174	5	0ball_out	197319	101.1	35.6	85	16	2
174	61	0mal_control	42670	64.5	96	85	47	2
174	5	0ball_out	42670	69.4	101.5	85	48	2
178	44	0aerial_duel_lost	52356	44.4	70.6	86	18	2
174	61	0mal_control	140266	64.4	18.3	86	22	2
174	44	0aerial_duel_lost	140264	65.3	41.6	86	32	2
174	18	player_off	197334	0	0	87	14	2
174	19	player_in	14464	0	0	87	14	2
178	44	0aerial_duel_lost	171101	46.7	82.5	87	33	2
178	5	0ball_out	77318	42.8	101.8	87	50	2
174	16	goal	14464	88.6	57.3	88	18	2
174	44	0aerial_duel_lost	76012	36.6	65.5	90	34	2
178	15	attempt_saved	171101	92.6	54.8	91	9	2
178	44	0aerial_duel_lost	209712	94.9	65.4	91	47	2
174	12	0despeje_clearance	140264	4.6	35.8	91	48	2
174	74	0blocked_pass	197319	21.9	74.4	91	51	2
174	5	0ball_out	197319	16.1	101.8	91	53	2
174	12	0despeje_clearance	242830	7.7	46.6	92	15	2
174	12	0despeje_clearance	140266	18.9	26.5	92	21	2
174	5	0ball_out	140266	55.8	-2	92	23	2
174	12	0despeje_clearance	140264	36.1	71.4	92	50	2
174	5	0ball_out	140264	50.2	100.8	92	51	2
178	44	0aerial_duel_lost	209712	85.4	58.4	93	5	2
174	12	0despeje_clearance	18498	14.3	40.4	93	6	2
174	74	0blocked_pass	140266	19.3	10.4	93	7	2
